BiomarcadorID;Expressao_Tumoral;Conservacao;Similaridade_Humana;Localizacao
B0000001;21.55;92;90;1
B0000002;95.77;75;43;1
B0000003;81.33;81;53;0
B0000004;63.03;82;47;0
B0000005;36.51;68;17;2
B0000006;38.18;96;84;1
B0000007;45.23;64;17;2
B0000008;73.5;98;31;1
B0000009;21.64;84;52;0
B0000010;37.32;100;26;2
B0000011;23.75;81;22;0
B0000012;69.1;68;96;1
B0000013;44.48;90;92;1
B0000014;38.3;85;29;2
B0000015;47.43;89;4;0
B0000016;29.49;71;21;1
B0000017;27.11;93;12;0
B0000018;25.99;85;6;1
B0000019;50.04;84;24;1
B0000020;80.12;96;1;0
B0000021;51.79;70;26;0
B0000022;80.55;66;10;2
B0000023;65.77;82;96;0
B0000024;97.01;66;90;0
B0000025;88.72;93;24;0
B0000026;94.6;72;41;1
B0000027;55.53;60;22;2
B0000028;45.5;100;83;1
B0000029;93.2;71;17;1
B0000030;50.18;98;15;0
B0000031;38.95;69;76;2
B0000032;65.64;81;74;1
B0000033;96.78;99;24;0
B0000034;24.29;93;22;2
B0000035;99.05;60;12;0
B0000036;24.34;67;26;2
B0000037;32.3;60;15;0
B0000038;99.3;62;85;1
B0000039;35.48;68;87;0
B0000040;93.62;67;32;0
B0000041;55.41;78;11;1
B0000042;58.33;99;1;0
B0000043;44.94;69;23;2
B0000044;56.82;91;36;0
B0000045;91.35;86;64;0
B0000046;44.76;64;24;1
B0000047;66.76;69;62;2
B0000048;57.97;63;27;2
B0000049;36.52;73;79;0
B0000050;73.95;82;23;0
B0000051;92.86;89;25;0
B0000052;82.15;97;8;2
B0000053;93.13;100;33;2
B0000054;37.24;70;67;2
B0000055;87.58;67;13;2
B0000056;74.3;92;26;0
B0000057;79.52;98;3;2
B0000058;44.01;91;24;1
B0000059;71.25;86;8;1
B0000060;28.77;78;28;0
B0000061;89.99;88;10;2
B0000062;78.66;90;23;2
B0000063;75.49;90;48;1
B0000064;26.79;69;18;2
B0000065;73.29;87;10;1
B0000066;50.54;95;23;2
B0000067;99.24;66;17;0
B0000068;42.09;77;28;0
B0000069;58.82;95;28;0
B0000070;85.76;60;5;2
B0000071;60.28;84;22;0
B0000072;71.36;75;75;1
B0000073;22.02;60;11;2
B0000074;74.23;96;95;2
B0000075;63.43;73;8;2
B0000076;78.32;68;1;0
B0000077;94.9;81;26;2
B0000078;76.45;61;2;1
B0000079;88.77;93;69;1
B0000080;25.48;75;42;1
B0000081;96.19;91;6;0
B0000082;44.74;100;59;0
B0000083;44.47;69;9;1
B0000084;86.01;93;17;0
B0000085;72.22;100;3;2
B0000086;74.51;86;20;2
B0000087;90.74;73;22;0
B0000088;23.05;93;58;0
B0000089;55.58;82;12;2
B0000090;41.15;71;18;0
B0000091;47.4;86;85;0
B0000092;95.65;93;20;2
B0000093;81.99;84;2;1
B0000094;55.16;61;65;2
B0000095;93.04;89;6;2
B0000096;81.25;61;23;0
B0000097;22.81;90;8;2
B0000098;78.67;67;1;0
B0000099;21.37;100;20;0
B0000100;49.46;78;73;0
B0000101;94.78;74;9;0
B0000102;37.3;71;44;2
B0000103;58.71;99;18;2
B0000104;96.84;61;29;1
B0000105;32.33;68;2;2
B0000106;33.86;76;87;1
B0000107;61.81;63;10;2
B0000108;50.68;68;69;1
B0000109;65.49;98;5;1
B0000110;46.09;68;28;0
B0000111;56.9;63;20;1
B0000112;77.08;95;26;1
B0000113;73.05;69;5;2
B0000114;36.83;64;0;0
B0000115;42.23;61;0;1
B0000116;79.89;68;57;2
B0000117;67.77;69;2;1
B0000118;59.28;64;16;1
B0000119;73.39;77;54;0
B0000120;73.51;65;7;2
B0000121;73.23;96;3;2
B0000122;96.51;90;7;0
B0000123;99.54;90;2;0
B0000124;84.8;86;10;0
B0000125;60.35;87;85;0
B0000126;64.72;93;21;1
B0000127;91.3;88;6;0
B0000128;84.35;84;22;1
B0000129;82.22;86;23;1
B0000130;53.2;89;4;2
B0000131;79.88;88;11;0
B0000132;89.22;99;29;2
B0000133;33.1;80;15;2
B0000134;94.39;63;82;0
B0000135;62.07;85;88;0
B0000136;32.83;86;0;0
B0000137;27.6;97;36;1
B0000138;72.13;65;69;2
B0000139;70.11;97;0;2
B0000140;48.96;86;6;0
B0000141;93.4;93;72;2
B0000142;22.65;71;2;1
B0000143;35.25;82;17;1
B0000144;77.9;62;10;2
B0000145;24.7;75;8;0
B0000146;68.02;88;18;1
B0000147;48.65;89;83;0
B0000148;45.21;95;81;0
B0000149;61.68;81;6;2
B0000150;59.52;87;8;1
B0000151;54.92;93;28;0
B0000152;76.78;74;7;0
B0000153;48.47;76;1;1
B0000154;27.43;85;24;1
B0000155;52.86;63;4;1
B0000156;37.25;63;26;2
B0000157;62.93;74;5;2
B0000158;83.82;71;76;2
B0000159;44.09;75;8;1
B0000160;56.16;89;5;0
B0000161;51.49;98;18;1
B0000162;50.9;72;22;1
B0000163;89.25;82;25;1
B0000164;77.26;81;16;1
B0000165;96.58;73;27;1
B0000166;96.2;63;89;1
B0000167;38.57;100;39;0
B0000168;65.05;79;98;2
B0000169;20.64;88;12;2
B0000170;43.61;81;87;2
B0000171;49.77;87;20;0
B0000172;59.94;99;90;0
B0000173;38.95;69;83;2
B0000174;57.55;63;33;2
B0000175;86.14;66;0;1
B0000176;36.41;79;64;1
B0000177;34.4;82;51;1
B0000178;27.2;98;89;2
B0000179;39.3;96;26;2
B0000180;30.75;91;29;0
B0000181;93.72;70;72;1
B0000182;40.16;98;24;2
B0000183;55.23;74;81;0
B0000184;80.22;68;66;2
B0000185;71.89;88;3;2
B0000186;62.88;89;12;1
B0000187;51.32;64;80;2
B0000188;42.23;90;12;1
B0000189;47.85;79;9;0
B0000190;28.8;92;19;0
B0000191;38.74;92;26;0
B0000192;32.88;77;11;0
B0000193;39.88;90;13;1
B0000194;63.06;68;84;1
B0000195;88.75;83;38;0
B0000196;33.48;62;95;0
B0000197;21.55;96;13;2
B0000198;48.29;67;18;0
B0000199;31.84;62;26;2
B0000200;30.42;73;7;2
B0000201;83.17;68;8;2
B0000202;90.16;92;22;1
B0000203;79.15;85;25;0
B0000204;49.56;99;27;2
B0000205;42.21;98;1;1
B0000206;56.27;67;83;0
B0000207;27.98;71;16;0
B0000208;51.27;100;21;0
B0000209;24.9;80;10;0
B0000210;55.71;99;43;0
B0000211;92.32;74;24;1
B0000212;55.44;95;1;0
B0000213;81.32;96;24;0
B0000214;75.22;94;11;0
B0000215;28.97;76;2;0
B0000216;42.34;64;61;1
B0000217;54.93;99;26;1
B0000218;54.97;63;6;0
B0000219;83.93;66;24;2
B0000220;48.23;77;92;2
B0000221;58.69;82;17;2
B0000222;35.84;76;78;0
B0000223;45.36;71;83;2
B0000224;47.85;77;9;1
B0000225;86.93;63;8;2
B0000226;45.98;60;16;0
B0000227;93.31;83;15;2
B0000228;78.88;69;68;0
B0000229;81.23;99;3;0
B0000230;46.95;91;93;1
B0000231;69.15;89;17;1
B0000232;21.4;76;1;2
B0000233;69.76;90;28;1
B0000234;37.01;98;8;1
B0000235;33.21;70;26;0
B0000236;82.57;87;22;1
B0000237;90.31;73;11;0
B0000238;46.75;72;67;2
B0000239;27.1;79;21;2
B0000240;94.51;82;35;2
B0000241;50.33;65;15;2
B0000242;63.7;81;3;2
B0000243;99.34;93;1;0
B0000244;72.2;67;82;0
B0000245;73.64;76;52;0
B0000246;65.62;86;5;1
B0000247;37.8;78;36;2
B0000248;34.86;79;47;2
B0000249;31.21;71;55;1
B0000250;89.09;91;7;0
B0000251;82.72;73;36;0
B0000252;98.11;98;9;2
B0000253;94.16;98;0;2
B0000254;65.17;74;82;1
B0000255;23.46;69;7;1
B0000256;28.04;77;7;1
B0000257;72.12;60;20;2
B0000258;52.42;81;16;2
B0000259;62.85;84;32;2
B0000260;22.02;86;25;1
B0000261;83.24;84;43;2
B0000262;28.63;85;2;0
B0000263;67.62;77;24;0
B0000264;93.1;92;8;0
B0000265;29.53;70;4;2
B0000266;65.36;91;24;1
B0000267;33.04;63;85;1
B0000268;52.45;61;39;2
B0000269;69.18;97;9;1
B0000270;97.73;60;18;2
B0000271;67.06;87;11;2
B0000272;53.16;95;72;1
B0000273;21.94;96;29;2
B0000274;60.44;99;3;1
B0000275;24.31;95;78;1
B0000276;88.5;89;47;1
B0000277;66.36;77;46;2
B0000278;59.07;83;19;0
B0000279;72.18;86;85;0
B0000280;79.64;78;68;0
B0000281;58.17;93;3;1
B0000282;64.72;64;27;0
B0000283;49.5;89;24;0
B0000284;24.35;61;7;2
B0000285;21.11;70;10;1
B0000286;40.05;75;18;1
B0000287;51.3;78;94;1
B0000288;63.03;60;7;0
B0000289;78.55;67;15;2
B0000290;94.47;74;20;2
B0000291;64.84;71;6;2
B0000292;89.01;78;7;1
B0000293;65.23;62;43;0
B0000294;52.55;90;16;1
B0000295;77.51;65;9;0
B0000296;85.36;65;25;2
B0000297;87.08;73;37;2
B0000298;98.98;97;4;1
B0000299;33.91;60;20;1
B0000300;45.26;100;23;0
B0000301;64.11;64;13;0
B0000302;93.0;89;12;2
B0000303;72.92;87;33;1
B0000304;93.73;87;23;0
B0000305;68.83;88;2;2
B0000306;98.23;78;9;0
B0000307;51.4;99;83;0
B0000308;89.63;69;6;2
B0000309;69.26;84;19;0
B0000310;34.43;87;22;2
B0000311;30.24;71;7;2
B0000312;75.42;90;17;0
B0000313;50.13;80;84;0
B0000314;48.8;82;6;0
B0000315;83.49;85;28;0
B0000316;30.69;70;3;1
B0000317;21.16;66;17;0
B0000318;23.61;83;5;2
B0000319;89.57;74;14;1
B0000320;45.97;79;20;0
B0000321;64.6;96;35;1
B0000322;36.82;87;22;2
B0000323;80.22;92;8;1
B0000324;39.4;66;18;1
B0000325;90.94;99;64;2
B0000326;34.99;86;23;2
B0000327;80.58;77;26;1
B0000328;66.07;98;24;1
B0000329;94.37;83;47;2
B0000330;23.31;80;21;1
B0000331;97.29;66;25;1
B0000332;95.78;60;10;0
B0000333;30.16;79;52;2
B0000334;54.22;64;28;2
B0000335;78.64;88;19;0
B0000336;83.85;99;24;2
B0000337;40.35;78;1;1
B0000338;80.16;100;70;2
B0000339;45.51;67;15;1
B0000340;87.6;61;97;1
B0000341;56.22;91;28;1
B0000342;97.38;76;12;2
B0000343;99.43;76;1;2
B0000344;78.26;68;24;2
B0000345;78.07;100;57;2
B0000346;26.6;70;78;1
B0000347;47.44;60;9;0
B0000348;76.93;85;95;0
B0000349;65.81;68;24;0
B0000350;39.65;76;1;0
B0000351;59.63;74;21;2
B0000352;25.95;81;9;0
B0000353;70.33;91;26;2
B0000354;89.43;92;67;1
B0000355;50.5;96;8;0
B0000356;67.12;95;20;2
B0000357;82.23;77;24;2
B0000358;81.79;71;85;0
B0000359;21.36;86;2;0
B0000360;74.23;87;30;0
B0000361;61.73;65;58;0
B0000362;63.39;82;2;1
B0000363;31.25;95;68;0
B0000364;28.92;100;6;2
B0000365;60.58;81;68;2
B0000366;27.27;80;21;2
B0000367;52.14;80;20;2
B0000368;67.02;89;9;1
B0000369;74.95;70;66;1
B0000370;41.65;88;25;1
B0000371;62.97;69;3;0
B0000372;59.43;94;20;2
B0000373;91.87;92;90;0
B0000374;40.69;91;42;2
B0000375;82.65;93;79;2
B0000376;48.36;78;23;1
B0000377;26.46;92;6;2
B0000378;55.4;96;80;0
B0000379;36.4;99;98;0
