Etapa
ncalls
Tempo total
% do total
Tempo médio
Aloc total
% aloc
Aloc média
Tot,/,%,measured:,347s,/,1.8%,21.2GiB,/,1.5%
Seleção,por,Torneio,1,2.60s,42.2%,2.60s,63.4MiB,19.9%,63.4MiB
Seleção,por,Torneio,1,2.61s,42.3%,2.61s,43.9MiB,13.8%,43.9MiB
Seleção,por,Torneio,2,4.93s,80.0%,2.47s,92.6MiB,29.1%,46.3MiB
Seleção,por,Torneio,3,5.93s,96.1%,1.98s,78.0MiB,24.5%,26.0MiB
Seleção,por,Torneio,2,4.93s,79.9%,2.46s,58.5MiB,18.4%,29.3MiB
Seleção,por,Torneio,2,4.87s,78.9%,2.43s,43.9MiB,13.8%,21.9MiB
Seleção,por,Torneio,3,7.58s,122.8%,2.53s,82.9MiB,26.1%,27.6MiB
Mutação,+,Avaliação,24,38.5s,624.5%,1.61s,2.08GiB,668.4%,88.6MiB
Seleção,por,Torneio,11,29.2s,472.7%,2.65s,356MiB,111.9%,32.4MiB
Crossover,1,Ponto,18,6.81s,110.4%,378ms,34.1MiB,10.7%,1.90MiB
Geração,da,População,1,2.60s,42.1%,2.60s,245MiB,77.0%,245MiB
Mutação,+,Avaliação,1,752ms,12.2%,752ms,9.75MiB,3.1%,9.75MiB
Crossover,1,Ponto,1,215ms,3.5%,215ms,0.00B,0.0%,0.00B
